Description	Enrichment	Enrichment_pval	Hits	Total	Gene_IDs
PIK-related kinase, FAT (IPR003151)	17.4	6e-02	3	3	Solyc01g106770.4.1,Solyc01g111870.3.1,Solyc02g083900.3.1
Symplekin/Pta1, N-terminal (IPR032460)	17.4	6e-02	3	3	Solyc04g076900.2.1,Solyc04g076910.3.1,Solyc09g005330.3.1
FATC domain (IPR003152)	13.9	4e-02	4	5	Solyc01g106770.4.1,Solyc01g109080.3.1,Solyc01g111870.3.1,Solyc02g083900.3.1
PIK-related kinase (IPR014009)	11.6	6e-02	4	6	Solyc01g106770.4.1,Solyc01g109080.3.1,Solyc01g111870.3.1,Solyc02g083900.3.1
RNA polymerase, beta subunit, protrusion (IPR007644)	9.9	9e-02	4	7	Solyc01g086710.4.1,Solyc03g110880.4.1,Solyc08g075940.4.1,Solyc12g010600.3.1
PAZ domain (IPR003100)	5.5	6e-02	7	22	Solyc01g008960.3.1,Solyc02g069260.3.1,Solyc06g072300.4.1,Solyc06g073540.4.1,Solyc07g005030.4.1,Solyc07g049500.3.1,Solyc10g004000.1.1
AUX/IAA domain (IPR033389)	4.7	3e-02	10	37	Solyc06g008580.3.1,Solyc06g008590.3.1,Solyc06g066020.3.1,Solyc07g008020.3.1,Solyc07g016180.3.1,Solyc08g008380.4.1,Solyc08g082630.3.1,Solyc09g090910.3.1,Solyc11g069190.2.1,Solyc12g042070.3.1
Glycosyl transferase, family 8 (IPR002495)	4.3	4e-02	10	40	Solyc01g093970.4.1,Solyc01g112210.3.1,Solyc02g065530.4.1,Solyc02g088630.4.1,Solyc04g078990.4.1,Solyc04g079860.1.1,Solyc05g009820.4.1,Solyc06g083310.3.1,Solyc09g075560.1.1,Solyc11g005760.3.1
Peptidase S8, subtilisin-related (IPR015500)	3.2	6e-02	14	77	Solyc01g087770.4.1,Solyc01g087780.2.1,Solyc01g087800.2.1,Solyc01g111400.4.1,Solyc02g069630.3.1,Solyc02g092670.1.1,Solyc02g092680.1.1,Solyc03g006970.1.1,Solyc03g044150.4.1,Solyc04g078730.1.1,Solyc04g081810.4.1,Solyc07g041970.4.1,Solyc08g007620.2.1,Solyc08g080010.1.1
Subtilisin-like protease, fibronectin type-III domain (IPR041469)	3.1	6e-02	14	79	Solyc01g087780.2.1,Solyc01g087800.2.1,Solyc01g111400.4.1,Solyc02g069630.3.1,Solyc02g092670.1.1,Solyc02g092680.1.1,Solyc03g006970.1.1,Solyc03g044150.4.1,Solyc04g078730.1.1,Solyc04g081810.4.1,Solyc07g041970.4.1,Solyc08g007620.2.1,Solyc08g007660.2.1,Solyc08g080010.1.1
Peptidase S8/S53 domain (IPR000209)	3	6e-02	15	88	Solyc01g087770.4.1,Solyc01g087780.2.1,Solyc01g087800.2.1,Solyc01g111400.4.1,Solyc02g069630.3.1,Solyc02g092670.1.1,Solyc02g092680.1.1,Solyc03g006970.1.1,Solyc03g044150.4.1,Solyc04g078730.1.1,Solyc04g081810.4.1,Solyc07g041970.4.1,Solyc08g007620.2.1,Solyc08g007660.2.1,Solyc08g080010.1.1
Helicase superfamily 1/2, ATP-binding domain (IPR014001)	2.7	2e-02	24	155	Solyc01g068280.3.1,Solyc01g090650.1.1,Solyc01g094800.4.1,Solyc01g099460.3.1,Solyc01g110990.2.1,Solyc02g085390.4.1,Solyc03g095680.2.1,Solyc04g007510.4.1,Solyc04g014210.3.1,Solyc05g008040.4.1,Solyc05g014690.3.1,Solyc05g047520.4.1,Solyc06g050510.3.1,Solyc06g082100.4.1,Solyc07g005030.4.1,Solyc08g007110.4.1,Solyc08g067200.2.1,Solyc08g074500.2.1,Solyc08g077420.3.1,Solyc10g005125.1.1,Solyc10g009070.3.1,Solyc10g076910.2.1,Solyc11g020760.3.1,Solyc12g020110.2.1
Helicase, C-terminal (IPR001650)	2.3	8e-02	21	157	Solyc01g068280.3.1,Solyc01g090650.1.1,Solyc01g094800.4.1,Solyc01g099460.3.1,Solyc01g110990.2.1,Solyc02g085390.4.1,Solyc04g007510.4.1,Solyc04g014210.3.1,Solyc05g008040.4.1,Solyc05g014690.3.1,Solyc05g047520.4.1,Solyc06g050510.3.1,Solyc06g082100.4.1,Solyc07g005030.4.1,Solyc08g074500.2.1,Solyc10g005125.1.1,Solyc10g009070.3.1,Solyc10g011940.1.1,Solyc10g076910.2.1,Solyc11g020760.3.1,Solyc12g020110.2.1
Leucine-rich repeat-containing N-terminal, plant-type (IPR013210)	2.2	3e-02	33	264	Solyc01g102700.4.1,Solyc02g068820.3.1,Solyc02g089550.3.1,Solyc02g091860.3.1,Solyc03g006030.4.1,Solyc03g006300.3.1,Solyc03g007485.1.1,Solyc03g059490.1.1,Solyc03g082450.3.1,Solyc03g082470.4.1,Solyc03g093330.4.1,Solyc03g113450.4.1,Solyc03g118510.3.1,Solyc03g123740.4.1,Solyc03g123860.4.1,Solyc04g051510.1.1,Solyc04g076460.4.1,Solyc06g006022.1.1,Solyc06g048950.3.1,Solyc06g051030.3.1,Solyc06g074070.3.1,Solyc07g005010.4.1,Solyc07g053600.3.1,Solyc07g054120.2.1,Solyc07g066230.4.1,Solyc08g079460.3.1,Solyc09g005090.1.1,Solyc09g007110.3.1,Solyc09g030450.3.1,Solyc09g091260.3.1,Solyc11g017270.2.1,Solyc12g056300.3.1,Solyc12g089160.3.1
Serine-threonine/tyrosine-protein kinase, catalytic domain (IPR001245)	2	2e-02	44	383	Solyc01g079340.3.1,Solyc01g096940.4.1,Solyc01g102700.4.1,Solyc02g014030.3.1,Solyc02g031910.2.1,Solyc02g068060.3.1,Solyc02g071810.4.1,Solyc02g071870.4.1,Solyc02g079540.2.1,Solyc02g079990.3.1,Solyc02g085430.4.1,Solyc02g089550.3.1,Solyc03g044160.3.1,Solyc03g059070.4.1,Solyc03g063650.1.1,Solyc03g097920.1.1,Solyc03g120760.4.1,Solyc03g123740.4.1,Solyc04g015600.3.1,Solyc04g076480.3.1,Solyc05g009050.3.1,Solyc05g054680.1.1,Solyc06g048950.3.1,Solyc06g051030.3.1,Solyc06g068980.4.1,Solyc06g076600.2.1,Solyc07g005010.4.1,Solyc07g018140.3.1,Solyc07g053120.4.1,Solyc07g053130.4.1,Solyc07g055180.3.1,Solyc07g063950.3.1,Solyc07g066230.4.1,Solyc08g076060.3.1,Solyc08g079460.3.1,Solyc09g007110.3.1,Solyc09g030450.3.1,Solyc10g084770.3.1,Solyc11g012050.1.1,Solyc11g017270.2.1,Solyc11g044940.1.1,Solyc11g072910.1.1,Solyc12g056300.3.1,Solyc12g089160.3.1
Leucine-rich repeat (IPR001611)	1.9	4e-02	43	402	Solyc01g102880.3.1,Solyc02g032650.3.1,Solyc02g068060.3.1,Solyc02g068820.3.1,Solyc02g070260.4.1,Solyc02g071810.4.1,Solyc02g071870.4.1,Solyc02g089550.3.1,Solyc02g091860.3.1,Solyc02g093100.3.1,Solyc02g150128.1.1,Solyc03g006030.4.1,Solyc03g006300.3.1,Solyc03g007485.1.1,Solyc03g059490.1.1,Solyc03g082450.3.1,Solyc03g082470.4.1,Solyc03g093330.4.1,Solyc03g118510.3.1,Solyc03g123860.4.1,Solyc04g014645.1.1,Solyc04g015600.3.1,Solyc04g051510.1.1,Solyc04g076450.1.1,Solyc04g076460.4.1,Solyc04g078590.3.1,Solyc06g006022.1.1,Solyc06g048950.3.1,Solyc07g005010.4.1,Solyc07g018190.4.1,Solyc07g052770.2.1,Solyc07g053600.3.1,Solyc07g054120.2.1,Solyc07g066230.4.1,Solyc08g079460.3.1,Solyc09g005090.1.1,Solyc09g007110.3.1,Solyc09g082800.3.1,Solyc09g091260.3.1,Solyc10g007830.1.1,Solyc11g017270.2.1,Solyc11g017280.2.1,Solyc12g089160.3.1
Protein kinase domain (IPR000719)	1.8	7e-06	114	1115	Solyc01g006520.3.1,Solyc01g079340.3.1,Solyc01g094020.3.1,Solyc01g096490.3.1,Solyc01g096940.4.1,Solyc01g101100.4.1,Solyc01g102700.4.1,Solyc02g014030.3.1,Solyc02g031910.2.1,Solyc02g065110.3.1,Solyc02g068060.3.1,Solyc02g068820.3.1,Solyc02g071810.4.1,Solyc02g071870.4.1,Solyc02g079540.2.1,Solyc02g079990.3.1,Solyc02g081500.3.1,Solyc02g085430.4.1,Solyc02g089550.3.1,Solyc02g089750.4.1,Solyc02g091860.3.1,Solyc02g093100.3.1,Solyc02g150128.1.1,Solyc03g006030.4.1,Solyc03g006300.3.1,Solyc03g007485.1.1,Solyc03g025360.3.1,Solyc03g044160.3.1,Solyc03g059070.4.1,Solyc03g059250.3.1,Solyc03g059490.1.1,Solyc03g063650.1.1,Solyc03g082450.3.1,Solyc03g082470.4.1,Solyc03g093330.4.1,Solyc03g097920.1.1,Solyc03g110940.3.1,Solyc03g112140.4.1,Solyc03g113450.4.1,Solyc03g117180.3.1,Solyc03g118510.3.1,Solyc03g120760.4.1,Solyc03g121050.3.1,Solyc03g123740.4.1,Solyc03g123860.4.1,Solyc04g014645.1.1,Solyc04g015460.4.1,Solyc04g015600.3.1,Solyc04g051510.1.1,Solyc04g058110.3.1,Solyc04g071000.1.1,Solyc04g076480.3.1,Solyc04g078590.3.1,Solyc05g005070.2.1,Solyc05g005140.4.1,Solyc05g008860.4.1,Solyc05g009050.3.1,Solyc05g010530.3.1,Solyc05g014760.3.1,Solyc05g023760.3.1,Solyc05g054680.1.1,Solyc06g006022.1.1,Solyc06g036080.4.1,Solyc06g048950.3.1,Solyc06g051030.3.1,Solyc06g051510.2.1,Solyc06g068980.4.1,Solyc06g072340.3.1,Solyc06g074070.3.1,Solyc06g076600.2.1,Solyc07g005010.4.1,Solyc07g018140.3.1,Solyc07g018190.4.1,Solyc07g053120.4.1,Solyc07g053130.4.1,Solyc07g053600.3.1,Solyc07g055180.3.1,Solyc07g056350.3.1,Solyc07g062040.3.1,Solyc07g063950.3.1,Solyc07g066230.4.1,Solyc08g059730.1.1,Solyc08g076060.3.1,Solyc08g077990.3.1,Solyc08g079460.3.1,Solyc08g081210.4.1,Solyc09g005000.1.1,Solyc09g007110.3.1,Solyc09g011070.1.1,Solyc09g011990.1.1,Solyc09g012000.1.1,Solyc09g030450.3.1,Solyc09g082800.3.1,Solyc09g083210.3.1,Solyc09g090250.4.1,Solyc09g091260.3.1,Solyc09g091990.3.1,Solyc10g076550.1.1,Solyc10g079130.2.1,Solyc10g084250.1.1,Solyc10g084770.3.1,Solyc11g012050.1.1,Solyc11g017270.2.1,Solyc11g017280.2.1,Solyc11g044940.1.1,Solyc11g044960.3.1,Solyc11g061720.1.1,Solyc11g061960.2.1,Solyc11g069590.2.1,Solyc11g072910.1.1,Solyc12g056300.3.1,Solyc12g089160.3.1,Solyc12g098910.2.1,Solyc12g098960.2.1
