Description	Enrichment	Enrichment_pval	Hits	Total	Gene_IDs
MCM OB domain (PF17207)	33.1	4e-08	7	7	NIOBTv3_g00695.t1, NIOBTv3_g07186.t1, NIOBTv3_g11994.t1, NIOBTv3_g15623.t1, NIOBTv3_g18474.t1, NIOBTv3_g25314.t1, NIOBTv3_g33173.t1
MCM AAA-lid domain (PF17855)	33.1	4e-08	7	7	NIOBTv3_g00696.t1, NIOBTv3_g07186.t1, NIOBTv3_g11994.t1, NIOBTv3_g15623.t1, NIOBTv3_g18474.t1, NIOBTv3_g25314.t1, NIOBTv3_g33173.t1
MCM N-terminal domain (PF14551)	33.1	7e-07	6	6	NIOBTv3_g00695.t1, NIOBTv3_g11994.t1, NIOBTv3_g15623.t1, NIOBTv3_g18474.t1, NIOBTv3_g25314.t1, NIOBTv3_g33173.t1
MCM P-loop domain (PF00493)	29	2e-07	7	8	NIOBTv3_g00696.t1, NIOBTv3_g07186.t1, NIOBTv3_g11994.t1, NIOBTv3_g15623.t1, NIOBTv3_g18474.t1, NIOBTv3_g25314.t1, NIOBTv3_g33173.t1
YABBY protein (PF04690)	27.6	1e-04	5	6	NIOBTv3_g03604.t1, NIOBTv3_g06576.t1, NIOBTv3_g14164.t1, NIOBTv3_g28706.t1, NIOBTv3_g40848.t1
Histone-binding protein RBBP4 or subunit C of CAF1 complex (PF12265)	19.9	9e-02	3	5	NIOBTv3_g04074.t1, NIOBTv3_g07762.t1, NIOBTv3_g26721.t1
Mid domain of argonaute (PF16487)	19.9	9e-02	3	5	NIOBTv3_g04981.t1, NIOBTv3_g20630.t1, NIOBTv3_g39268.t1
Transcription factor regulating root and shoot growth via Pin3 (PF08381)	12	9e-02	4	11	NIOBTv3_g33866.t1, NIOBTv3_g37858.t1, NIOBTv3_g39411.t1, NIOBTv3_g66035.t1
Transcription factor BRX N-terminal domain (PF13713)	12	9e-02	4	11	NIOBTv3_g33866.t1, NIOBTv3_g37858.t1, NIOBTv3_g39411.t1, NIOBTv3_g66035.t1
tify domain (PF06200)	11	4e-02	5	15	NIOBTv3_g08281.t1, NIOBTv3_g10090.t1, NIOBTv3_g19754.t1, NIOBTv3_g26197.t1, NIOBTv3_g53622.t1
SBP domain (PF03110)	8.7	9e-02	5	19	NIOBTv3_g02501.t1, NIOBTv3_g03603.t1, NIOBTv3_g08075.t1, NIOBTv3_g13698.t1, NIOBTv3_g19850.t1
START domain (PF01852)	6.4	9e-02	6	31	NIOBTv3_g08416.t1, NIOBTv3_g14338.t1, NIOBTv3_g26108.t1, NIOBTv3_g31875.t1, NIOBTv3_g32848.t1, NIOBTv3_g34082.t1
