Description	Enrichment	Enrichment_pval	Hits	Total	Gene_IDs
RNA polymerase sigma-70 (IPR000943)	4.3	4e-03	8	8	NIOBTv3_g02776.t1, NIOBTv3_g06608.t1, NIOBTv3_g06860.t1, NIOBTv3_g08063.t1, NIOBTv3_g12353.t1, NIOBTv3_g16573.t1, NIOBTv3_g24502.t1, NIOBTv3_g25635.t1
RNA polymerase sigma-70 region 3 (IPR007624)	4.3	4e-03	8	8	NIOBTv3_g02776.t1, NIOBTv3_g06608.t1, NIOBTv3_g06860.t1, NIOBTv3_g08063.t1, NIOBTv3_g12353.t1, NIOBTv3_g16573.t1, NIOBTv3_g24502.t1, NIOBTv3_g25635.t1
RNA polymerase sigma-70 region 2 (IPR007627)	4.3	4e-03	8	8	NIOBTv3_g02776.t1, NIOBTv3_g06608.t1, NIOBTv3_g06860.t1, NIOBTv3_g08063.t1, NIOBTv3_g12353.t1, NIOBTv3_g16573.t1, NIOBTv3_g24502.t1, NIOBTv3_g25635.t1
RNA polymerase sigma-70 region 4 (IPR007630)	4.3	4e-03	8	8	NIOBTv3_g02776.t1, NIOBTv3_g06608.t1, NIOBTv3_g06860.t1, NIOBTv3_g08063.t1, NIOBTv3_g12353.t1, NIOBTv3_g16573.t1, NIOBTv3_g24502.t1, NIOBTv3_g25635.t1
RNA polymerase sigma-70 like domain (IPR014284)	4.3	4e-03	8	8	NIOBTv3_g02776.t1, NIOBTv3_g06608.t1, NIOBTv3_g06860.t1, NIOBTv3_g08063.t1, NIOBTv3_g12353.t1, NIOBTv3_g16573.t1, NIOBTv3_g24502.t1, NIOBTv3_g25635.t1
Cyclin PHO80-like (IPR013922)	4.3	3e-02	6	6	NIOBTv3_g03209.t1, NIOBTv3_g20542.t1, NIOBTv3_g27264.t1, NIOBTv3_g27420.t1, NIOBTv3_g34485.t1, NIOBTv3_g38294.t1
S-adenosylmethionine synthetase (IPR002133)	4.3	7e-02	5	5	NIOBTv3_g15768.t1, NIOBTv3_g20707.t1, NIOBTv3_g24421.t1, NIOBTv3_g39132.t1, NIOBTv3_g44246.t1
Glycolipid transfer protein domain (IPR014830)	4.3	7e-02	5	5	NIOBTv3_g06172.t1, NIOBTv3_g11567.t1, NIOBTv3_g24410.t1, NIOBTv3_g39313.t1, NIOBTv3_g43874.t1
S-adenosylmethionine synthetase, N-terminal (IPR022628)	4.3	7e-02	5	5	NIOBTv3_g15768.t1, NIOBTv3_g20707.t1, NIOBTv3_g24421.t1, NIOBTv3_g39132.t1, NIOBTv3_g44246.t1
S-adenosylmethionine synthetase, central domain (IPR022629)	4.3	7e-02	5	5	NIOBTv3_g15768.t1, NIOBTv3_g20707.t1, NIOBTv3_g24421.t1, NIOBTv3_g39132.t1, NIOBTv3_g44246.t1
