NIOBTv3_g24069	Solyc07g064170.3.1
NIOBTv3_g34226	Solyc05g005080.3.1
NIOBTv3_g28294	Solyc05g055400.3.1
NIOBTv3_g11395	Solyc06g035580.3.1
NIOBTv3_g22562	Solyc03g111550.3.1
NIOBTv3_g36328	Solyc06g035720.3.1
NIOBTv3_g10870	Solyc10g007310.1.1
NIOBTv3_g62328-D2	Solyc10g075090.2.1
NIOBTv3_g31399	Solyc01g111145.1.1
NIOBTv3_g35812	Solyc01g067295.1.1
NIOBTv3_g62342-D3	Solyc10g075070.2.1
NIOBTv3_g03888	Solyc06g074630.3.1
NIOBTv3_g27715	Solyc08g077510.3.1
NIOBTv3_g25002	Solyc07g052230.3.1
NIOBTv3_g02048	Solyc06g074120.3.1
NIOBTv3_g35884	Solyc04g074850.3.1
NIOBTv3_g62992-D2	Solyc09g009010.3.1
NIOBTv3_g05651-D3	Solyc03g117800.3.1
NIOBTv3_g22564	Solyc11g007540.2.1
NIOBTv3_g09715-D2	Solyc01g104775.1.1
NIOBTv3_g07727	Solyc04g081300.3.1
NIOBTv3_g30297	Solyc09g014350.3.1
NIOBTv3_g24797	Solyc02g091920.3.1
NIOBTv3_g18225	Solyc11g008630.2.1
NIOBTv3_g14756-D2	Solyc03g034375.1.1
NIOBTv3_g30520	Solyc09g075570.1.1
NIOBTv3_g28158	Solyc01g105450.3.1
NIOBTv3_g33274	Solyc11g006250.2.1
NIOBTv3_g34498	Solyc10g086280.2.1
NIOBTv3_g62992-D2	Solyc09g009010.3.1
NIOBTv3_g08808	Solyc03g114030.3.1
NIOBTv3_g26925	Solyc02g088100.3.1
NIOBTv3_g32076	Solyc09g098530.3.1
NIOBTv3_g05040	Solyc07g049440.3.1
NIOBTv3_g42011	Solyc02g071920.3.1
NIOBTv3_g32915	Solyc07g062530.3.1
NIOBTv3_g31112	Solyc01g099630.3.1
NIOBTv3_g10568	Solyc02g089880.3.1
NIOBTv3_g65291	Solyc03g114000.3.1
NIOBTv3_g04613	Solyc01g087850.2.1
NIOBTv3_g25066	Solyc06g082460.1.1
NIOBTv3_g18440-D2	Solyc04g079680.3.1
NIOBTv3_g32078-D2	Solyc09g098540.3.1
NIOBTv3_g26524	Solyc10g005100.3.1
NIOBTv3_g32814	Solyc05g007120.3.1
NIOBTv3_g03681	Solyc08g068150.3.1
NIOBTv3_g31831	Solyc10g044690.2.1
NIOBTv3_g03075	Solyc06g074260.3.1
NIOBTv3_g27851	Solyc01g080680.3.1
NIOBTv3_g07090	Solyc08g081220.1.1
NIOBTv3_g36471	Solyc11g030730.2.1
NIOBTv3_g24031	Solyc06g082420.3.1
NIOBTv3_g24069	Solyc07g064170.3.1
NIOBTv3_g36161	Solyc06g083600.2.1
NIOBTv3_g06123	Solyc01g108745.1.1
NIOBTv3_g03407	Solyc08g079430.3.1
NIOBTv3_g04968	Solyc08g067030.3.1
NIOBTv3_g30295	Solyc07g042390.2.1
NIOBTv3_g07270	Solyc07g017600.3.1
NIOBTv3_g05368	Solyc01g094070.3.1
NIOBTv3_g30752	Solyc06g053730.1.1
NIOBTv3_g56195	Solyc04g015030.3.1
NIOBTv3_g56193-D2	Solyc04g007760.3.1
NIOBTv3_g12764	Solyc01g111220.3.1
NIOBTv3_g24070	Solyc07g064160.3.1
NIOBTv3_g12606	Solyc02g087420.2.1
NIOBTv3_g29258	Solyc09g007480.3.1
NIOBTv3_g16869	Solyc02g089670.3.1
NIOBTv3_g26105	Solyc02g065530.3.1
NIOBTv3_g09836	Solyc02g076820.3.1
NIOBTv3_g40010	Solyc02g076920.3.1
NIOBTv3_g23387	Solyc02g084720.3.1
NIOBTv3_g01001	Solyc12g099360.2.1
NIOBTv3_g38027	Solyc03g007870.3.1
NIOBTv3_g31124	Solyc04g016330.3.1
NIOBTv3_g08073	Solyc10g080840.1.1
NIOBTv3_g08850	Solyc05g043330.3.1
NIOBTv3_g31974	Solyc11g071600.2.1
NIOBTv3_g08168	Solyc11g020100.2.1
NIOBTv3_g28470	Solyc01g109170.3.1
NIOBTv3_g29547	Solyc03g112760.3.1
NIOBTv3_g22626	Solyc01g094010.3.1
NIOBTv3_g24512	Solyc07g042300.1.1
NIOBTv3_g26054	Solyc07g056320.3.1
NIOBTv3_g18674	Solyc03g116270.3.1
NIOBTv3_g22028	Solyc07g045440.1.1
NIOBTv3_g22891	Solyc02g092840.1.1
NIOBTv3_g18000	Solyc06g083580.3.1
NIOBTv3_g14628	Solyc12g006840.2.1
NIOBTv3_g13746	Solyc06g062780.3.1
NIOBTv3_g16129	Solyc03g111690.3.1
NIOBTv3_g07760	Solyc01g111570.3.1
NIOBTv3_g22314	Solyc02g084210.1.1
NIOBTv3_g34791	Solyc01g099260.3.1
NIOBTv3_g35211	Solyc03g096840.3.1
NIOBTv3_g25001	Solyc07g052240.3.1
NIOBTv3_g01554	Solyc01g095530.2.1
NIOBTv3_g33688	Solyc08g005560.3.1
NIOBTv3_g23653	Solyc08g079040.1.1
NIOBTv3_g33262	Solyc05g018510.3.1
NIOBTv3_g21388	Solyc11g072110.2.1
NIOBTv3_g35404	Solyc04g071650.3.1
NIOBTv3_g29148	Solyc04g070970.3.1
NIOBTv3_g19004	Solyc02g088390.3.1
NIOBTv3_g23271	Solyc01g080010.2.1
NIOBTv3_g32071	Solyc04g074950.3.1
NIOBTv3_g16066	Solyc03g114750.3.1
NIOBTv3_g28963	Solyc06g063240.3.1
NIOBTv3_g18927	Solyc01g108490.3.1
NIOBTv3_g35479	Solyc09g005570.3.1
NIOBTv3_g26867	Solyc06g074070.3.1
NIOBTv3_g40889-D2	Solyc04g016230.3.1
NIOBTv3_g22016	Solyc11g069590.2.1
NIOBTv3_g20015	Solyc12g056200.2.1
NIOBTv3_g02905	Solyc05g032680.3.1
NIOBTv3_g10770	Solyc05g005560.4.1
NIOBTv3_g04122	Solyc03g031800.3.1
NIOBTv3_g39860	Solyc05g006670.1.1
NIOBTv3_g37439	Solyc02g083120.2.1
NIOBTv3_g20135	Solyc07g054310.2.1
NIOBTv3_g19563-D2	Solyc06g072430.2.1
NIOBTv3_g23834	Solyc01g111230.3.1
NIOBTv3_g08499	Solyc03g113350.3.1
NIOBTv3_g33262	Solyc05g018510.3.1
NIOBTv3_g40889-D2	Solyc04g016230.3.1
NIOBTv3_g16870-D2	Solyc02g089680.3.1
NIOBTv3_g10770	Solyc05g005560.4.1
NIOBTv3_g13746	Solyc06g062780.3.1
NIOBTv3_g41250	Solyc07g064670.3.1
NIOBTv3_g10770	Solyc05g005560.4.1
NIOBTv3_g27953	Solyc10g009080.3.1
NIOBTv3_g29281	Solyc02g079500.4.1
NIOBTv3_g05856	Solyc11g068440.2.1
NIOBTv3_g14620	Solyc08g005800.3.1
NIOBTv3_g22960	Solyc03g116610.3.1
NIOBTv3_g06184	Solyc11g018580.2.1
NIOBTv3_g06433	Solyc03g096730.3.1
NIOBTv3_g30115	Solyc02g086460.3.1
NIOBTv3_g30115	Solyc02g086460.3.1
NIOBTv3_g30115	Solyc02g086460.3.1
NIOBTv3_g30115	Solyc02g086460.3.1
NIOBTv3_g30115	Solyc02g086460.3.1
NIOBTv3_g30115	Solyc02g086460.3.1
NIOBTv3_g30115	Solyc02g086460.3.1
NIOBTv3_g30115	Solyc02g086460.3.1
NIOBTv3_g30115	Solyc02g086460.3.1
NIOBTv3_g30115	Solyc02g086460.3.1
NIOBTv3_g30115	Solyc02g086460.3.1
